7.831462025642395020e-01,3.974470794200897217e-01,8.066949248313903809e-01,4.121849536895751953e-01
5.406283140182495117e-01,3.413084447383880615e-01,5.625868439674377441e-01,3.567287325859069824e-01
5.087559819221496582e-01,6.616033315658569336e-01,5.336376428604125977e-01,6.771249175071716309e-01
7.216687798500061035e-01,4.814228713512420654e-01,7.458286285400390625e-01,4.939064383506774902e-01
6.070241928100585938e-01,5.188641548156738281e-01,6.258239150047302246e-01,5.315839052200317383e-01
7.163166403770446777e-01,4.444793462753295898e-01,7.402753829956054688e-01,4.601711630821228027e-01
6.084427833557128906e-01,3.510804772377014160e-01,6.287045478820800781e-01,3.675711452960968018e-01
1.825516819953918457e-01,4.663916826248168945e-01,2.054729312658309937e-01,4.813604652881622314e-01
1.883877068758010864e-01,6.387797594070434570e-01,2.092176079750061035e-01,6.524428725242614746e-01
5.895460247993469238e-01,7.162469625473022461e-01,6.126200556755065918e-01,7.320253849029541016e-01
4.554640948772430420e-01,5.827597379684448242e-01,4.767163097858428955e-01,5.947068333625793457e-01
4.041449725627899170e-01,6.980439424514770508e-01,4.305038154125213623e-01,7.170578837394714355e-01
4.913013279438018799e-01,4.505073428153991699e-01,5.116817951202392578e-01,4.624850153923034668e-01
5.169638395309448242e-01,7.374994158744812012e-01,5.401141643524169922e-01,7.535354495048522949e-01
5.318843722343444824e-01,4.003784954547882080e-01,5.519319772720336914e-01,4.148246049880981445e-01
6.716490983963012695e-01,2.725289463996887207e-01,6.931436061859130859e-01,2.884723246097564697e-01
4.849293231964111328e-01,5.236445665359497070e-01,5.081035494804382324e-01,5.390557050704956055e-01
1.919166147708892822e-01,5.692563652992248535e-01,2.136995792388916016e-01,5.826896429061889648e-01
3.676706850528717041e-01,4.137418270111083984e-01,3.850027918815612793e-01,4.253135621547698975e-01
7.253661751747131348e-01,5.598330497741699219e-01,7.436122298240661621e-01,5.714123845100402832e-01
5.254399776458740234e-01,5.096616744995117188e-01,5.457152724266052246e-01,5.239382982254028320e-01
4.157817959785461426e-01,5.147451162338256836e-01,4.350444674491882324e-01,5.266615152359008789e-01
4.693393111228942871e-01,7.568320035934448242e-01,4.894511103630065918e-01,7.680578827857971191e-01
2.897433042526245117e-01,3.974783718585968018e-01,3.072941303253173828e-01,4.146919846534729004e-01
5.958366990089416504e-01,6.793024539947509766e-01,6.165044307708740234e-01,6.901205182075500488e-01
6.743333339691162109e-01,6.312571167945861816e-01,6.934860348701477051e-01,6.437997221946716309e-01
